Data;Godzina;Minuty;Wolumen
2002-01-01;2;0;14603.70
2002-01-01;4;0;14359.60
2002-01-01;6;0;14020.00
2002-01-01;8;0;13807.40
2002-01-01;10;0;13829.70
2002-01-01;12;0;14159.90
2002-01-01;14;0;14591.80
2002-01-01;16;0;15768.40
2002-01-01;18;0;16899.90
2002-01-01;20;0;17041.00
2002-01-01;22;0;15812.40
2002-01-01;24;0;14441.10
2002-01-02;2;0;14162.30
2002-01-02;4;0;14391.50
2002-01-02;6;0;15630.70
2002-01-02;8;0;17294.10
2002-01-02;10;0;18347.70
2002-01-02;12;0;18788.30
2002-01-02;14;0;18926.30
2002-01-02;16;0;19579.50
2002-01-02;18;0;20560.00
2002-01-02;20;0;20070.30
2002-01-02;22;0;18631.60
2002-01-02;24;0;16429.90
2002-01-03;2;0;16712.70
2002-01-03;4;0;16540.30
2002-01-03;6;0;17418.20
2002-01-03;8;0;19028.80
2002-01-03;10;0;19562.20
2002-01-03;12;0;19746.00
2002-01-03;14;0;19612.10
2002-01-03;16;0;20177.10
2002-01-03;18;0;21513.30
2002-01-03;20;0;21431.50
2002-01-03;22;0;19433.60
2002-01-03;24;0;17654.00
2002-01-04;2;0;17531.20
2002-01-04;4;0;17591.80
2002-01-04;6;0;17867.80
2002-01-04;8;0;19937.50
2002-01-04;10;0;20581.20
2002-01-04;12;0;20392.10
2002-01-04;14;0;20242.90
2002-01-04;16;0;20717.80
2002-01-04;18;0;21650.30
2002-01-04;20;0;21262.80
2002-01-04;22;0;19434.80
2002-01-04;24;0;17490.20
2002-01-05;2;0;17201.30
2002-01-05;4;0;16870.90
2002-01-05;6;0;16992.70
2002-01-05;8;0;17266.80
2002-01-05;10;0;18216.10
2002-01-05;12;0;18624.60
2002-01-05;14;0;18432.70
2002-01-05;16;0;18931.50
2002-01-05;18;0;20236.60
2002-01-05;20;0;19810.20
2002-01-05;22;0;18251.50
2002-01-05;24;0;16068.80
2002-01-06;2;0;15141.00
2002-01-06;4;0;15415.10
2002-01-06;6;0;15535.30
2002-01-06;8;0;15549.60
2002-01-06;10;0;15723.90
2002-01-06;12;0;16158.90
2002-01-06;14;0;16434.10
2002-01-06;16;0;16932.40
2002-01-06;18;0;18137.30
2002-01-06;20;0;18264.50
2002-01-06;22;0;17149.00
2002-01-06;24;0;15465.10
2002-01-07;2;0;15458.20
2002-01-07;4;0;15383.50
2002-01-07;6;0;17154.70
2002-01-07;8;0;19156.50
2002-01-07;10;0;19550.20
2002-01-07;12;0;19896.70
2002-01-07;14;0;19601.60
2002-01-07;16;0;20290.20
2002-01-07;18;0;20933.50
2002-01-07;20;0;20530.70
2002-01-07;22;0;18485.70
2002-01-07;24;0;16602.40
2002-01-08;2;0;16427.10
2002-01-08;4;0;16759.90
2002-01-08;6;0;17643.90
2002-01-08;8;0;19342.00
2002-01-08;10;0;19643.40
2002-01-08;12;0;19809.70
